original_category,canonical_category,original_count
"psychiatric_status","psychiatric_status",3
"clinical_condition","clinical_condition",3
"location","location",3
"anaphylaxis_history","anaphylaxis_history",3
"steroid_use","steroid_use",3
"current_medications","current_medications",3
"monoclonal_antibody","monoclonal_antibody",3
"activity","activity",3
"medication_use","medication_use",3
"cnv","cnv",3
"contraception_fertility","contraception_fertility",3
"washout_period","washout_period",3
"medical_contraindication","medical_contraindication",3
"cns_infection","cns_infection",3
"effusion_ascites","effusion_ascites",3
"hcv_status","hcv_status",3
"drug_tolerance","drug_tolerance",3
"disease_definition","disease_definition",3
"Lesion Size","Lesion Size",3
"her2_gastric_cancer","her2_gastric_cancer",3
"Comorbid Disease","Comorbid Disease",3
"disease_comorbidity","Comorbid Disease",3
"hearing_status","hearing_status",3
"asthma_exacerbation","asthma_exacerbation",3
"bleeding_coagulopathy","bleeding_coagulopathy",3
"disease_subtype","disease_subtype",3
"study_completion","study_completion",3
"plasma_exchange","plasma_exchange",3
"uncontrolled_illness","uncontrolled_illness",3
"cns_lymphoma","cns_lymphoma",3
"cardiac_device","cardiac_device",3
"investigator_judgment","investigator_judgment",3
"treatment_cohort","treatment_cohort",3
"Risk Behavior","Risk Behavior",3
"menopause_status","menopause_status",3
"allergies_intolerances","allergies_intolerances",3
"connective_tissue_disease","connective_tissue_disease",3
"Prior Rituximab","Prior Rituximab",3
"Psychiatric Disorder","Psychiatric Disorder",3
"Prior investigational therapy","Prior investigational therapy",3
"General Exclusion","General Exclusion",3
"pulmonary_history","pulmonary_history",3
"Traumatic Injury","Traumatic Injury",3
"Palliative Radiation","Palliative Radiation",3
"Prior Laser Treatment","Prior Laser Treatment",3
"Prior Anti-VEGF","Prior Anti-VEGF",3
"Creatinine","Creatinine",3
"Cerebrovascular History","Cerebrovascular History",3
"Enrollment criteria","Enrollment criteria",3
"surgical_procedure","surgical_procedure",3
"ability_to_consent","ability_to_consent",3
"Uncontrolled Intercurrent Illness","Uncontrolled Intercurrent Illness",3
"Medical Illness","Medical Illness",3
"Hematologic Labs","Hematologic Labs",3
"Concurrent Malignancy","Concurrent Malignancy",3
"Ability to Comply","Ability to Comply",3
"Cerebrovascular Events","Cerebrovascular Events",3
"Body Mass Index","Body Mass Index",3
"safety_hazard","safety_hazard",3
"Allowed Medications","Allowed Medications",3
"Lab Values - Renal","Lab Values - Renal",3
"Retinal Findings","Retinal Findings",3
"research_samples","research_samples",3
"CYP3A Inhibitors/Inducers","CYP3A Inhibitors/Inducers",3
"Grapefruit","Grapefruit",3
"bevacizumab_hypersensitivity","bevacizumab_hypersensitivity",3
"cns_event","cns_event",3
"Exercise intervention","Exercise intervention",3
"other_malignancies","OTHER_MALIGNANCY",2
"female_contraception","contraception_female",2
"nutritional","nutrition",2
"gender_age","age_gender",2
"other_studies","other_study",2
"malignancy_cns","CNS Malignancy",2
"ocular_prior_treatment","Prior Ocular Treatment",2
"test","testing",2
"body_measures","body_measurement",2
"accessibility","access",2
"medication_compliance","medication_compliance",2
"inadequate_response","inadequate_response",2
"diarrhea","diarrhea",2
"metabolic_disease","metabolic_disease",2
"donor_criteria","donor_criteria",2
"infection_risk","infection_risk",2
"current_treatment","current_treatment",2
"treatment_need","treatment_need",2
"drug_dosing","drug_dosing",2
"device_use","device_use",2
"allergen_immunotherapy","allergen_immunotherapy",2
"medical_treatment","medical_treatment",2
"medical_imaging","medical_imaging",2
"eligibility_criteria","eligibility_criteria",2
"blood_loss","blood_loss",2
"treatment_naive","treatment_naive",2
"fluid_management","fluid_management",2
"baseline_assessment","baseline_assessment",2
"hepatic_renal","hepatic_renal",2
"renal_hepatic","hepatic_renal",2
"ocular_anatomy","ocular_anatomy",2
"toxicity_resolution","toxicity_resolution",2
"diverticulitis","diverticulitis",2
"oxygen_therapy","oxygen_therapy",2
"donor_type","donor_type",2
"co_infection","co_infection",2
"ocular_media","ocular_media",2
"psychiatric_neurological","psychiatric_neurological",2
"hearing","hearing",2
"hla_matching","hla_matching",2
"medical_comorbidity","medical_comorbidity",2
"wound_status","wound_status",2
"hepatocellular_carcinoma","hepatocellular_carcinoma",2
"arrhythmia","arrhythmia",2
"hypothyroidism","hypothyroidism",2
"inflammatory_disease","inflammatory_disease",2
"caregiver_availability","caregiver_availability",2
"study_phase","study_phase",2
"age_and_sex","age_and_sex",2
"relationship","relationship",2
"support","support",2
"genotype","genotype",2
"treatment_interruption","treatment_interruption",2
"study_drug","study_drug",2
"general_suitability","general_suitability",2
"genetic_disease","genetic_disease",2
"anemia_etiology","anemia_etiology",2
"transplant_eligibility","transplant_eligibility",2
"abdominal","abdominal",2
"hormone_status","hormone_status",2
"arm_specific","arm_specific",2
"logistics","logistics",2
"blood_product_refusal","blood_product_refusal",2
"medication_eligibility","medication_eligibility",2
"treatment_free_interval","treatment_free_interval",2
"edss","edss",2
"immunocompromised","immunocompromised",2
"prior_b_cell_therapy","prior_b_cell_therapy",2
"prior_natalizumab","prior_natalizumab",2
"prior_daclizumab","prior_daclizumab",2
"prior_teriflunomide","prior_teriflunomide",2
"thrombosis_history","thrombosis_history",2
"therapy","therapy",2
"injury","injury",2
"corneal_thickness","corneal_thickness",2
"Treatment Type","Treatment Type",2
"Hemolytic Anemia","Hemolytic Anemia",2
"Drug-Specific (Docetaxel)","Drug-Specific (Docetaxel)",2
"Neuropsychiatric","Neuropsychiatric",2
"general_medical","general_medical",2
"drug_absorption","drug_absorption",2
"occupational","occupational",2
"systemic_immunostimulation","systemic_immunostimulation",2
"functional_limitation","functional_limitation",2
"diabetes_exception","diabetes_exception",2
"pulmonary_exception","pulmonary_exception",2
"infection_exception","infection_exception",2
"btc_specific","btc_specific",2
"cns_trauma","cns_trauma",2
"inflammatory_joint_disease","inflammatory_joint_disease",2
"time_since_surgery","time_since_surgery",2
"neurologic_status","neurologic_status",2
"required_medication","required_medication",2
"exacerbation","exacerbation",2
"rehabilitation","rehabilitation",2
"cognitive_test","cognitive_test",2
"systemic_illness","systemic_illness",2
"development","development",2
"conflict_of_interest","conflict_of_interest",2
"ability_to_swallow","ability_to_swallow",2
"disease_presentation","disease_presentation",2
"prior_study_compliance","prior_study_compliance",2
"organ_involvement","organ_involvement",2
"alkylating_agents","alkylating_agents",2
"serious_disease","serious_disease",2
"lab_liver","lab_liver",2
"her2_testing","her2_testing",2
"vital_status","vital_status",2
"substance_screening","substance_screening",2
"gestational_age","gestational_age",2
"surgical_criteria","surgical_criteria",2
"imaging_findings","imaging_findings",2
"bronchodilator_response","bronchodilator_response",2
"thrombocytopenia","thrombocytopenia",2
"biologic_therapy","biologic_therapy",2
"steroid_therapy","steroid_therapy",2
"infection_screening","infection_screening",2
"covid_infection","covid_infection",2
"prior_treatment_recovery","prior_treatment_recovery",2
"medication_ability","medication_ability",2
"neurological_stability","neurological_stability",2
"functional_test","functional_test",2
"ole_reproductive_health","ole_reproductive_health",2
"ole_liver_disease","ole_liver_disease",2
"hiv_hbv_hcv","hiv_hbv_hcv",2
"standard_of_care","standard_of_care",2
"lab_creatinine_clearance","lab_creatinine_clearance",2
"hiv_test","hiv_test",2
"checkpoint_inhibitor_toxicity","checkpoint_inhibitor_toxicity",2
"cns_symptoms","cns_symptoms",2
"age_and_consent","age_and_consent",2
"tumor_genetics","tumor_genetics",2
"medication_sensitivity","medication_sensitivity",2
"decompensated_liver","decompensated_liver",2
"liver_disease_other","liver_disease_other",2
"other_liver_disease","liver_disease_other",2
"sample_collection","sample_collection",2
"diagnosis_arm_a","diagnosis_arm_a",2
"prior_antibody_therapy","prior_antibody_therapy",2
"amyloidosis","amyloidosis",2
"ebv_infection","ebv_infection",2
"hbv_infection","hbv_infection",2
"covid_19","covid_19",2
"immunosuppressive_drugs","immunosuppressive_drugs",2
"copd","copd",2
"concurrent_cancer_therapy","concurrent_cancer_therapy",2
"qtc_interval","qtc_interval",2
"hbsag","hbsag",2
"prior_antiviral","prior_antiviral",2
"population_healthy_controls","population_healthy_controls",2
"organ_transplant_type","organ_transplant_type",2
"administration","administration",2
"injection_site","injection_site",2
"feeding_tube","feeding_tube",2
"drug_eligibility","drug_eligibility",2
"severity_score","severity_score",2
"skin_infection","skin_infection",2
"developmental_stage","developmental_stage",2
"medical_test","medical_test",2
"psychiatric_disease","psychiatric_disease",2
"reference_study","reference_study",2
"presentation","presentation",2
"thrombotic_disease","thrombotic_disease",2
"pain_management","pain_management",2
"cardiac_abiraterone","cardiac_abiraterone",2
"prior_allogeneic_transplant","prior_allogeneic_transplant",2
"pancreatic","pancreatic",2
"visual","visual",2
"cooperation","cooperation",2
"ebv","ebv",2
"solid_organ_transplant","solid_organ_transplant",2
"hlh","hlh",2
"inr","inr",2
"genetic_testing","genetic_testing",2
"donor","donor",2
"protein","protein",2
"medical_disease","medical_disease",2
"language_barrier","language_barrier",2
"cmv_disease","cmv_disease",2
"ophthalmic_assessment","ophthalmic_assessment",2
"social_security","social_security",2
"fracture","fracture",2
"surgical_recovery","surgical_recovery",2
"primary_diagnosis","primary_diagnosis",2
"reference","reference",2
"body_type","body_type",2
"drug_abuse","drug_abuse",2
"iron_status","iron_status",2
"third_space_fluid","third_space_fluid",2
"angina","angina",2
"minor_procedure","minor_procedure",2
"ability_to_take_drug","ability_to_take_drug",2
"intracranial_hemorrhage","intracranial_hemorrhage",2
"encephalopathy","encephalopathy",2
"chronic_illness","chronic_illness",2
"psychiatric_comorbidity","psychiatric_comorbidity",2
"kidney_transplant","kidney_transplant",2
"lens_status","lens_status",2
"protocol_adherence","protocol_adherence",2
"medication_route","medication_route",2
"post_menopausal","post_menopausal",2
"contact","contact",2
"literacy","literacy",2
"hba1c","hba1c",2
"gastric_ulcer","gastric_ulcer",2
"gi_perforation","gi_perforation",2
"age_and_demographics","age_and_demographics",2
"logistical","logistical",2
"physical_capability","physical_capability",2
"life-threatening disease","life-threatening disease",2
"chronic disease","chronic disease",2
"drug-specific: Rifampicin","drug-specific: Rifampicin",2
"hematological_function","hematological_function",2
"anatomy","anatomy",2
"status","status",2
"retrospective_enrollment","retrospective_enrollment",2
"renal_failure","renal_failure",2
"gynecology","gynecology",2
"autoimmunity","autoimmunity",2
"weight_loss_history","weight_loss_history",2
"anemia","anemia",2
"vital","vital",2
"gi_bleed","gi_bleed",2
"extension_criteria","extension_criteria",2
"cns_imaging","cns_imaging",2
"participation","participation",2
"hbv_hcv","hbv_hcv",2
"inhibitor_history","inhibitor_history",2
"bone_health","bone_health",2
"thrombosis_risk","thrombosis_risk",2
"wbc","wbc",2
"radiation_pneumonitis","radiation_pneumonitis",2
"inhaled_corticosteroids","inhaled_corticosteroids",2
"joint_counts","joint_counts",2
"rheumatologic","rheumatologic",2
"molecular","molecular",2
"treatment_resistance","treatment_resistance",2
"scan_tolerance","scan_tolerance",2
"sample","sample",2
"symptom_timing","symptom_timing",2
"induction_agents","induction_agents",2
"retinal_changes","retinal_changes",2
"retinal_detachment","retinal_detachment",2
"anatomical","anatomical",2
"disease_feature","disease_feature",2
"cardiac_status","cardiac_status",2
"bilateral_cancer","bilateral_cancer",2
"antibiotic_use","antibiotic_use",2
"diabetes_status","diabetes_status",2
"autoimmune_status","autoimmune_status",2
"response","response",2
"eye_exam","eye_exam",2
"treatment_cohortA","treatment_cohortA",2
"viral_cohortB","viral_cohortB",2
"adjuvant_treatment","adjuvant_treatment",2
"recent_chemotherapy","recent_chemotherapy",2
"dermatologic_conditions","dermatologic_conditions",2
"prognostic_score","prognostic_score",2
"lymph_nodes","lymph_nodes",2
"lab_hba1c","lab_hba1c",2
"tumor_sample","tumor_sample",2
"exposure","exposure",2
"cardiac_biomarkers","cardiac_biomarkers",2
"procedure_contraindication","procedure_contraindication",2
"hepatic_renal_function","hepatic_renal_function",2
"her2_breast_cancer","her2_breast_cancer",2
"her2_solid_tumor","her2_solid_tumor",2
"clinical_scale","clinical_scale",2
"psychiatric_medication","psychiatric_medication",2
"syphilis","syphilis",2
"examination","examination",2
"neovascularization","neovascularization",2
"prior_anticoagulation","prior_anticoagulation",2
"disease_exacerbations","disease_exacerbations",2
"uncontrolled_pain","uncontrolled_pain",2
"oxygenation","oxygenation",2
"rejection_history","rejection_history",2
"p_gp_inhibitor","p_gp_inhibitor",2
"disability_score","disability_score",2
"other_investigational","other_investigational",2
"clinical_response","clinical_response",2
"treatment_interval","treatment_interval",2
"prior_vegf_therapy","prior_vegf_therapy",2
"thrombotic","thrombotic",2
"corneal_endothelial_cell_density","corneal_endothelial_cell_density",2
"fuchs_dystrophy","fuchs_dystrophy",2
"corneal_edema","corneal_edema",2
"corneal_dystrophy","corneal_dystrophy",2
"safety_risk","safety_risk",2
"prior_pi3k_inhibitor","prior_pi3k_inhibitor",2
"General Medical Exclusions","General Medical Exclusions",2
"gi_surgery","gi_surgery",2
"gvhd","gvhd",2
"prior_local_therapy","prior_local_therapy",2
"esophageal_varices","esophageal_varices",2
"viral_coinfection","viral_coinfection",2
"spinal_cord_compression","spinal_cord_compression",2
"immunosuppressive_therapy","immunosuppressive_therapy",2
"stroke_hemorrhage","stroke_hemorrhage",2
"laboratory_values_platelets","laboratory_values_platelets",2
"dialysis_requirement","dialysis_requirement",2
"study_eligibility","study_eligibility",2
"autoantibodies","autoantibodies",2
"other_joint_disease","other_joint_disease",2
"sensory_impairment","sensory_impairment",2
"clinical_indication","clinical_indication",2
"psychiatric_condition","psychiatric_condition",2
"ophthalmological_condition","ophthalmological_condition",2
"sperm_donation","sperm_donation",2
"cardiac_rhythm","cardiac_rhythm",2
"puberty","puberty",2
"lymphocyte_count","lymphocyte_count",2
"disease_transformation","disease_transformation",2
"diagnosis_ms","diagnosis_ms",2
"prior_treatment_ms","prior_treatment_ms",2
"study_commitment","study_commitment",2
"travel","travel",2
"neuro","neuro",2
"recurrent_infection","recurrent_infection",2
"locoregional_therapy","locoregional_therapy",2
"cns_metastasis","cns_metastasis",2
"tissue_collection","tissue_collection",2
"hla_status","hla_status",2
"prior_treatment_study_eye","prior_treatment_study_eye",2
"ocular_device","ocular_device",2
"mnv_characteristics","mnv_characteristics",2
"eyelid","eyelid",2
"anterior_segment","anterior_segment",2
"corneal_endothelium","corneal_endothelium",2
"biosample","biosample",2
"menopausal","menopausal",2
"practical","practical",2
"Uncontrolled comorbidities","Uncontrolled comorbidities",2
"Lab criteria - ANC","Lab criteria - ANC",2
"Lab criteria - Hemoglobin","Lab criteria - Hemoglobin",2
"Lab criteria - Bilirubin","Lab criteria - Bilirubin",2
"SARS-CoV-2","SARS-CoV-2",2
"Active tuberculosis","Active tuberculosis",2
"Prior major surgery","Prior major surgery",2
"Corticosteroids contraindication","Corticosteroids contraindication",2
"stem_cell_source","stem_cell_source",2
"chronic_gvhd","chronic_gvhd",2
"drainage","drainage",2
"hemodynamic_status","hemodynamic_status",2
"Genetic Status","Genetic Status",2
"Airway Reactivity","Airway Reactivity",2
"Prior Cancer Therapy","Prior Cancer Therapy",2
"Prior Intravitreal Treatment","Prior Intravitreal Treatment",2
"Prior Vitrectomy","Prior Vitrectomy",2
"Hepatitis B and C","Hepatitis B and C",2
"age_cohort_specific","age_cohort_specific",2
"surgical_eligibility","surgical_eligibility",2
"Hematologic Malignancy","Hematologic Malignancy",2
"Prior cell-depleting therapy","Prior cell-depleting therapy",2
"Medication requirement","Medication requirement",2
"lymph_node_status","lymph_node_status",2
"cohort_a_specific","cohort_a_specific",2
"clinical_findings","clinical_findings",2
"technology_use","technology_use",2
"infection_inflammation","infection_inflammation",2
"disease_recurrence","disease_recurrence",2
"ulcer_size","ulcer_size",2
"cancer_screening","cancer_screening",2
"prior_cataract_surgery","prior_cataract_surgery",2
"Corticosteroid Exception","Corticosteroid Exception",2
"Pulmonary Edema","Pulmonary Edema",2
"steroids","steroids",2
"Autoimmune/Immunologic","Autoimmune/Immunologic",2
"Vascular Events","Vascular Events",2
"Other Clinical Trials","Other Clinical Trials",2
"GI Events","GI Events",2
"Immunosuppressive Medication Exception","Immunosuppressive Medication Exception",2
"antiplatelet_agents","antiplatelet_agents",2
"Prior Anti-Angiogenic Treatment","Prior Anti-Angiogenic Treatment",2
"Prior Ophthalmic Surgery","Prior Ophthalmic Surgery",2
"treatment_arm_specific","treatment_arm_specific",2
"Psychiatric/Substance","Psychiatric/Substance",2
"Pregnancy/Gender","Pregnancy/Gender",2
"Hepatitis serology","Hepatitis serology",2
"ocular_health","ocular_health",2
"Non-healing Wound","Non-healing Wound",2
"Avastin Hypersensitivity","Avastin Hypersensitivity",2
"Tumor Grade","Tumor Grade",2
"Pregnancy/Nursing","Pregnancy/Nursing",2
"Anticipated Surgery","Anticipated Surgery",2
"Urine Protein","Urine Protein",2
"Prior Trastuzumab","Prior Trastuzumab",2
"Antiretroviral Therapy","Antiretroviral Therapy",2
"Disease Status - Locally Advanced","Disease Status - Locally Advanced",2
"gi_inflammation","gi_inflammation",2
"pd_l1","pd_l1",2
"control_group","control_group",2
"Prior Study Status","Prior Study Status",2
"Gastrointestinal Complications","Gastrointestinal Complications",2
"Uncontrolled Medical Illnesses","Uncontrolled Medical Illnesses",2
"Laboratory Values - Liver Function","Laboratory Values - Liver Function",2
"Respiratory Support","Respiratory Support",2
"Disease Sites","Disease Sites",2
"Aspirin","Aspirin",2
"Diagnosis and Prior Therapy","Diagnosis and Prior Therapy",2
"Richter Transformation","Richter Transformation",2
"Psychiatric Illness","Psychiatric Illness",2
"MRD status","MRD status",2
"pulmonary_hypertension","pulmonary_hypertension",2
"age_and_transplant_status","age_and_transplant_status",2
"monitoring","monitoring",2
"surgery_interval","surgery_interval",2
"prior_checkpoint_inhibitor","prior_checkpoint_inhibitor",2
"asthma_medication","asthma_medication",2
"allergy_status","allergy_status",2
"Immunosuppressive Treatment","Immunosuppressive Treatment",2
"viral_hepatitis_exception","viral_hepatitis_exception",2
"medical_risk","medical_risk",2
"Thrombolytic Therapy","Thrombolytic Therapy",2
"Diagnosis - Ovarian","Diagnosis - Ovarian",2
"healthy_control","healthy_control",2
"testing_ability","testing_ability",2
"OSE Stage eligibility","OSE Stage eligibility",2
"Prior therapy - proteasome inhibitor","Prior therapy - proteasome inhibitor",2
"Renal and Hepatic Function","Renal and Hepatic Function",2
"Elevated IgE","Elevated IgE",2
"neurologic_disease","neurologic_disease",2
"dlco","dlco",2
"interstitial_lung_disease","interstitial_lung_disease",2
"Stratum S - Skeletal maturity","Stratum S - Skeletal maturity",2
"allergen_response","allergen_response",2
"wound_fracture","wound_fracture",2
"Lab - AST","Lab - AST",2
"Lab - Creatinine","Lab - Creatinine",2
"Prior Drug Treatment","Prior Drug Treatment",2
"facility_type","facility_type",2
"age_fitness","age_fitness",2
"Laboratory - Hepatic","Laboratory - Hepatic",2
"General Medical Condition","General Medical Condition",2
"Corticosteroid Dosing","Corticosteroid Dosing",2
"Contraception/Pregnancy","PREGNANCY_CONTRACEPTION",1
"disease_measurable","MEASURABLE_DISEASE",1
"malignancies","malignancy",1
"pregnancy_testing","pregnancy_test",1
"Drug-Drug Interactions","drug_interaction",1
"pulmonary_cardiac","cardiac_pulmonary",1
"behavior","behavioral",1
"medications_excluded","Excluded Medications",1
"diagnosis_and_age","age_and_diagnosis",1
"prior_monoclonal_antibodies","Prior monoclonal antibody",1
"Contraception and Pregnancy","pregnancy_and_contraception",1
"infection_hcv","hcv_infection",1
"varices_bleeding","variceal_bleeding",1
"allergy_monoclonal_antibodies","Monoclonal Antibody Allergy",1
"sex_and_age","age_and_sex",1
"immunocompromise","immunocompromised",1
"infection_hbv","hbv_infection",1
"renal_hepatic_function","hepatic_renal_function",1
"Oxygen","oxygenation",1
"Uncontrolled Comorbidity","Uncontrolled comorbidities",1
"BONE_DEVELOPMENT","BONE_DEVELOPMENT",1
"NEUROLOGIC/PSYCHIATRIC","NEUROLOGIC/PSYCHIATRIC",1
"psychiatric_neurologic","NEUROLOGIC/PSYCHIATRIC",1
"mental_capacity","mental_capacity",1
"clotting_disorder","clotting_disorder",1
"oral_medication","oral_medication",1
"antineoplastic_treatment","antineoplastic_treatment",1
"standard_criteria","standard_criteria",1
"enrollment_history","enrollment_history",1
"multiple_organs","multiple_organs",1
"vad","vad",1
"graft_status","graft_status",1
"recent_transfusion","recent_transfusion",1
"prior_treatment_compatibility","prior_treatment_compatibility",1
"nasal_polyps","nasal_polyps",1
"symptom_score","symptom_score",1
"run_in_treatment","run_in_treatment",1
"nasal_symptoms","nasal_symptoms",1
"recent_investigational_drug","recent_investigational_drug",1
"leukotriene_modifier","leukotriene_modifier",1
"run_in_systemic_cs","run_in_systemic_cs",1
"intranasal_cs","intranasal_cs",1
"nasal_surgery","nasal_surgery",1
"structural_nasal_surgery","structural_nasal_surgery",1
"epistaxis","epistaxis",1
"immune_disorder","immune_disorder",1
"polyp_type","polyp_type",1
"nasal_septal_deviation","nasal_septal_deviation",1
"rhinitis_medicamentosa","rhinitis_medicamentosa",1
"fungal_infection","fungal_infection",1
"aspirin_desensitization","aspirin_desensitization",1
"diagnosis_part_a","diagnosis_part_a",1
"diagnosis_part_b","diagnosis_part_b",1
"diagnosis_part_c","diagnosis_part_c",1
"hypersensitivity_part_b","hypersensitivity_part_b",1
"hypersensitivity_part_c","hypersensitivity_part_c",1
"drug_labeling","drug_labeling",1
"sensitivity","sensitivity",1
"identification","identification",1
"radiolabeled_drug","radiolabeled_drug",1
"progression_timing","progression_timing",1
"resistance","resistance",1
"metastatic_burden","metastatic_burden",1
"none","none",1
"disease_timing","disease_timing",1
"metabolic_disorder","metabolic_disorder",1
"clinical_evidence","clinical_evidence",1
"recent_relapse","recent_relapse",1
"suicidality","suicidality",1
"dermatology","dermatology",1
"brain_metastasis","brain_metastasis",1
"rapid_progression","rapid_progression",1
"event_history","event_history",1
"procedure_criteria","procedure_criteria",1
"blood_type","blood_type",1
"metastases_and_history","metastases_and_history",1
"surgery_and_procedures","surgery_and_procedures",1
"cardiac_and_bleeding","cardiac_and_bleeding",1
"gi_and_absorption","gi_and_absorption",1
"pregnancy_cns_infection","pregnancy_cns_infection",1
"autoimmune_and_organ","autoimmune_and_organ",1
"eye","eye",1
"treatment_regimen","treatment_regimen",1
"treatment_experience","treatment_experience",1
"lipid_management","lipid_management",1
"risk","risk",1
"withdrawal","withdrawal",1
"availability","availability",1
"treatment_timeline","treatment_timeline",1
"adverse_event_history","adverse_event_history",1
"sex_fertility","sex_fertility",1
"prior_allograft","prior_allograft",1
"cold_ischemia","cold_ischemia",1
"donor_age","donor_age",1
"immunological_risk","immunological_risk",1
"hcc_type","hcc_type",1
"organ_status","organ_status",1
"note","note",1
"prior_intolerance","prior_intolerance",1
"infection_disease","infection_disease",1
"hbeag_status","hbeag_status",1
"hbv_genotype","hbv_genotype",1
"gastrointestinal_bleeding","gastrointestinal_bleeding",1
"hdv_infection","hdv_infection",1
"dpd_deficiency","dpd_deficiency",1
"recovery_status","recovery_status",1
"dose_restriction","dose_restriction",1
"inflammation_markers","inflammation_markers",1
"blood_product_donation","blood_product_donation",1
"consent_and_caregiver","consent_and_caregiver",1
"caregiver_capability","caregiver_capability",1
"immunologic_status","immunologic_status",1
"renal_involvement","renal_involvement",1
"part_a_vital_signs","part_a_vital_signs",1
"part_a_medication","part_a_medication",1
"part_b_vital_signs","part_b_vital_signs",1
"part_b_medication","part_b_medication",1
"organ_history","organ_history",1
"fluid_collection","fluid_collection",1
"hemoglobin_level","hemoglobin_level",1
"prior_treatment_toxicity","prior_treatment_toxicity",1
"sample_submission","sample_submission",1
"cardiac_risk","cardiac_risk",1
"blood_product_allergy","blood_product_allergy",1
"prior_tocilizumab","prior_tocilizumab",1
"prior_tocilizumab_trial","prior_tocilizumab_trial",1
"treatment_approach","treatment_approach",1
"treatment_ability","treatment_ability",1
"bariatric_surgery","bariatric_surgery",1
"treatment_modality","treatment_modality",1
"hepatitis_or_infection","hepatitis_or_infection",1
"age_cohort_a","age_cohort_a",1
"diagnosis_cohort_a","diagnosis_cohort_a",1
"age_cohort_b","age_cohort_b",1
"diagnosis_cohort_b","diagnosis_cohort_b",1
"age_cohort_c","age_cohort_c",1
"diagnosis_cohort_c","diagnosis_cohort_c",1
"inhibitor_status_cohort_c","inhibitor_status_cohort_c",1
"immune_tolerance_induction","immune_tolerance_induction",1
"disability_progression","disability_progression",1
"disability_progression_criteria","disability_progression_criteria",1
"gadolinium_intolerance","gadolinium_intolerance",1
"neurological_disorder","neurological_disorder",1
"somatic_disease","somatic_disease",1
"prior_ocrelizumab","prior_ocrelizumab",1
"prior_alemtuzumab","prior_alemtuzumab",1
"corticosteroid_intolerance","corticosteroid_intolerance",1
"prior_siponimod","prior_siponimod",1
"fampridine","fampridine",1
"prior_natalizumab_interval","prior_natalizumab_interval",1
"prior_immunosuppressants","prior_immunosuppressants",1
"prior_mitoxantrone","prior_mitoxantrone",1
"prior_teriflunomide_plasma","prior_teriflunomide_plasma",1
"exposure_history","exposure_history",1
"physical_status","physical_status",1
"diagnostic_data","diagnostic_data",1
"infection_medical_condition","infection_medical_condition",1
"excluded_treatment","excluded_treatment",1
"immune_function","immune_function",1
"skin_type","skin_type",1
"alcohol_screening","alcohol_screening",1
"gi_symptoms","gi_symptoms",1
"iop","iop",1
"optic_disc","optic_disc",1
"tonometry","tonometry",1
"corneal_condition","corneal_condition",1
"patient_cooperation","patient_cooperation",1
"parent_study","parent_study",1
"treatment_benefit","treatment_benefit",1
"discontinuation_criteria","discontinuation_criteria",1
"drug_availability","drug_availability",1
"drug_discontinuation","drug_discontinuation",1
"drug_management","drug_management",1
"prior_reaction","prior_reaction",1
"race_ethnicity","race_ethnicity",1
"Treatment Dosage","Treatment Dosage",1
"Immune-mediated Adverse Events","Immune-mediated Adverse Events",1
"Associated Conditions","Associated Conditions",1
"Lymphoma","Lymphoma",1
"Reproductive/Fertility","Reproductive/Fertility",1
"neuromuscular","neuromuscular",1
"insurance_coverage","insurance_coverage",1
"enrollment_duration","enrollment_duration",1
"calcium_metabolism","calcium_metabolism",1
"cardiovascular_events","cardiovascular_events",1
"prior_medical","prior_medical",1
"prophylaxis","prophylaxis",1
"bone_metabolism","bone_metabolism",1
"endocrine_history","endocrine_history",1
"metabolic_risk","metabolic_risk",1
"ophthalmologic_complication","ophthalmologic_complication",1
"tissue_banking","tissue_banking",1
"dermatologic_exception","dermatologic_exception",1
"bone","bone",1
"egc_specific","egc_specific",1
"drug_specific","drug_specific",1
"intracranial_mass","intracranial_mass",1
"residence","residence",1
"metastasis_status","metastasis_status",1
"antibody_status","antibody_status",1
"administration_route","administration_route",1
"premedication_contraindications","premedication_contraindications",1
"ocular_surgery_history","ocular_surgery_history",1
"prior_dcis_lcis","prior_dcis_lcis",1
"prior_chemoprevention","prior_chemoprevention",1
"neurologic_history","neurologic_history",1
"treatment_availability","treatment_availability",1
"meningeal_disease","meningeal_disease",1
"gender_contraception","gender_contraception",1
"birthweight","birthweight",1
"physical_ability","physical_ability",1
"coexisting_condition","coexisting_condition",1
"care_continuity","care_continuity",1
"disability_status","disability_status",1
"cancer_staging","cancer_staging",1
"serious_illness","serious_illness",1
"neurologic_stability","neurologic_stability",1
"neurologic_conditions","neurologic_conditions",1
"melanoma_type","melanoma_type",1
"ocular_toxicity","ocular_toxicity",1
"age_of_event","age_of_event",1
"trauma_exposure","trauma_exposure",1
"diagnostic_criteria","diagnostic_criteria",1
"prior_immunosuppression_long","prior_immunosuppression_long",1
"cell_depletion","cell_depletion",1
"prior_tcz","prior_tcz",1
"major_infection","major_infection",1
"active_tb","active_tb",1
"lab_renal","lab_renal",1
"lab_wbc","lab_wbc",1
"lab_alc","lab_alc",1
"daclizumab_dosing","daclizumab_dosing",1
"immunoglobulin_vaccination","immunoglobulin_vaccination",1
"rejection","rejection",1
"medication_adverse_event","medication_adverse_event",1
"prior_prevention","prior_prevention",1
"infection_travel","infection_travel",1
